Ref,Val,Package,PosX,PosY,Rot,Side
"C10","4u7","C_0805_2012Metric",125.700000,-72.800000,-90.000000,top
"C15","0.47u","C_0402_1005Metric",159.900000,-88.520000,90.000000,top
"C17","0.47u","C_0402_1005Metric",134.450000,-97.610000,90.000000,top
"C18","0.47u","C_0402_1005Metric",156.590000,-82.950000,180.000000,top
"C23","47u","C_1206_3216Metric",123.001500,-72.684000,-90.000000,top
"C24","47u","C_1206_3216Metric",123.006500,-88.944000,-90.000000,top
"C33","100u","C_1206_3216Metric",122.881500,-81.419000,-90.000000,top
"C44","0.47u","C_0402_1005Metric",120.864000,-73.484000,90.000000,top
"C45","0.47u","C_0402_1005Metric",120.919000,-89.694000,-90.000000,top
"C46","0.47u","C_0402_1005Metric",120.944000,-82.419000,-90.000000,top
"D1","DONE","LED_0603_1608Metric",156.650000,-79.170000,180.000000,top
"D2","VCC","LED_0603_1608Metric",113.000000,-97.800000,0.000000,top
"D3","USER_LED","LED_0603_1608Metric",160.770000,-97.860000,0.000000,top
"D4","USER_LED","LED_0603_1608Metric",160.780000,-100.750000,0.000000,top
"D5","USER_LED","LED_0603_1608Metric",160.770000,-94.730000,0.000000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",127.200000,-93.675000,180.000000,top
"L1","2u2","IND_LQH3NPN2R2MJRL",113.101500,-73.984000,90.000000,top
"L2","2u2","IND_LQH3NPN2R2MJRL",113.219000,-89.794000,90.000000,top
"L3","2u2","IND_LQH3NPN2R2MJRL",113.094000,-81.919000,90.000000,top
"R1","100k","R_0402_1005Metric",119.839000,-71.534000,-90.000000,top
"R2","22k","R_0402_1005Metric",119.839000,-73.474000,90.000000,top
"R3","120k","R_0402_1005Metric",119.919000,-89.694000,-90.000000,top
"R4","240k","R_0402_1005Metric",119.919000,-87.694000,-90.000000,top
"R5","22k","R_0402_1005Metric",119.794000,-80.419000,-90.000000,top
"R6","33k","R_0402_1005Metric",119.794000,-82.419000,-90.000000,top
"R8","4k7","R_0402_1005Metric",126.900000,-88.625000,0.000000,top
"R11","330","R_0402_1005Metric",156.590000,-81.800000,0.000000,top
"R12","10k","R_0402_1005Metric",160.790000,-99.340000,0.000000,top
"R13","10k","R_0402_1005Metric",112.987500,-99.200000,180.000000,top
"R14","10k","R_0402_1005Metric",160.870000,-102.200000,0.000000,top
"R18","100","R_0402_1005Metric",156.600000,-80.650000,180.000000,top
"R19","10k","R_0402_1005Metric",160.730000,-96.210000,0.000000,top
"U1","XC7A35T-FGG484","FB-BGA-484_23.0x23.0mm_Layout22x22_P1.0mm",141.930000,-82.600000,-90.000000,top
"U2","TLV62565DBVR","SOT-23-5",117.101500,-73.984000,0.000000,top
"U3","TLV62565DBVR","SOT-23-5",117.219000,-89.794000,0.000000,top
"U4","TLV62565DBVR","SOT-23-5",117.094000,-81.919000,0.000000,top
"U5","MX25L12833F","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm",138.015000,-98.702500,90.000000,top
"X1","SG-8018CE","Crystal_SMD_3225-4Pin_3.2x2.5mm",157.400000,-89.200000,90.000000,top
